+-----------------------+------+--------+-------+-------------+
|       series id       | year | period | value |  footnotes  |
+-----------------------+------+--------+-------+-------------+
| JTU710000000000000TSL | 2020 |  M12   |  171  | preliminary |
| JTU710000000000000TSL | 2020 |  M11   |  105  |             |
| JTU710000000000000TSL | 2020 |  M10   |  159  |             |
| JTU710000000000000TSL | 2020 |  M09   |  164  |             |
| JTU710000000000000TSL | 2020 |  M08   |  132  |             |
| JTU710000000000000TSL | 2020 |  M07   |  102  |             |
| JTU710000000000000TSL | 2020 |  M06   |  104  |             |
| JTU710000000000000TSL | 2020 |  M05   |   51  |             |
| JTU710000000000000TSL | 2020 |  M04   |  294  |             |
| JTU710000000000000TSL | 2020 |  M03   |  547  |             |
| JTU710000000000000TSL | 2020 |  M02   |   77  |             |
| JTU710000000000000TSL | 2020 |  M01   |  133  |             |
| JTU710000000000000TSL | 2019 |  M12   |  174  |             |
| JTU710000000000000TSL | 2019 |  M11   |  193  |             |
| JTU710000000000000TSL | 2019 |  M10   |  227  |             |
| JTU710000000000000TSL | 2019 |  M09   |  250  |             |
| JTU710000000000000TSL | 2019 |  M08   |  266  |             |
| JTU710000000000000TSL | 2019 |  M07   |  142  |             |
| JTU710000000000000TSL | 2019 |  M06   |  121  |             |
| JTU710000000000000TSL | 2019 |  M05   |  129  |             |
| JTU710000000000000TSL | 2019 |  M04   |  140  |             |
| JTU710000000000000TSL | 2019 |  M03   |  100  |             |
| JTU710000000000000TSL | 2019 |  M02   |   82  |             |
| JTU710000000000000TSL | 2019 |  M01   |  119  |             |
| JTU710000000000000TSL | 2018 |  M12   |  145  |             |
| JTU710000000000000TSL | 2018 |  M11   |  197  |             |
| JTU710000000000000TSL | 2018 |  M10   |  225  |             |
| JTU710000000000000TSL | 2018 |  M09   |  283  |             |
| JTU710000000000000TSL | 2018 |  M08   |  288  |             |
| JTU710000000000000TSL | 2018 |  M07   |  172  |             |
| JTU710000000000000TSL | 2018 |  M06   |  155  |             |
| JTU710000000000000TSL | 2018 |  M05   |  133  |             |
| JTU710000000000000TSL | 2018 |  M04   |  160  |             |
| JTU710000000000000TSL | 2018 |  M03   |  131  |             |
| JTU710000000000000TSL | 2018 |  M02   |   86  |             |
| JTU710000000000000TSL | 2018 |  M01   |  133  |             |
+-----------------------+------+--------+-------+-------------+
