+-----------------------+------+--------+-------+-------------+
|       series id       | year | period | value |  footnotes  |
+-----------------------+------+--------+-------+-------------+
| JTU720000000000000TSL | 2020 |  M12   |  954  | preliminary |
| JTU720000000000000TSL | 2020 |  M11   |  837  |             |
| JTU720000000000000TSL | 2020 |  M10   |  745  |             |
| JTU720000000000000TSL | 2020 |  M09   |  794  |             |
| JTU720000000000000TSL | 2020 |  M08   |  817  |             |
| JTU720000000000000TSL | 2020 |  M07   |  791  |             |
| JTU720000000000000TSL | 2020 |  M06   |  742  |             |
| JTU720000000000000TSL | 2020 |  M05   |  485  |             |
| JTU720000000000000TSL | 2020 |  M04   |  1660 |             |
| JTU720000000000000TSL | 2020 |  M03   |  4608 |             |
| JTU720000000000000TSL | 2020 |  M02   |  692  |             |
| JTU720000000000000TSL | 2020 |  M01   |  892  |             |
| JTU720000000000000TSL | 2019 |  M12   |  831  |             |
| JTU720000000000000TSL | 2019 |  M11   |  776  |             |
| JTU720000000000000TSL | 2019 |  M10   |  974  |             |
| JTU720000000000000TSL | 2019 |  M09   |  1117 |             |
| JTU720000000000000TSL | 2019 |  M08   |  1109 |             |
| JTU720000000000000TSL | 2019 |  M07   |  1063 |             |
| JTU720000000000000TSL | 2019 |  M06   |  1015 |             |
| JTU720000000000000TSL | 2019 |  M05   |  885  |             |
| JTU720000000000000TSL | 2019 |  M04   |  955  |             |
| JTU720000000000000TSL | 2019 |  M03   |  769  |             |
| JTU720000000000000TSL | 2019 |  M02   |  735  |             |
| JTU720000000000000TSL | 2019 |  M01   |  891  |             |
| JTU720000000000000TSL | 2018 |  M12   |  753  |             |
| JTU720000000000000TSL | 2018 |  M11   |  795  |             |
| JTU720000000000000TSL | 2018 |  M10   |  1009 |             |
| JTU720000000000000TSL | 2018 |  M09   |  1065 |             |
| JTU720000000000000TSL | 2018 |  M08   |  1064 |             |
| JTU720000000000000TSL | 2018 |  M07   |  962  |             |
| JTU720000000000000TSL | 2018 |  M06   |  847  |             |
| JTU720000000000000TSL | 2018 |  M05   |  875  |             |
| JTU720000000000000TSL | 2018 |  M04   |  855  |             |
| JTU720000000000000TSL | 2018 |  M03   |  712  |             |
| JTU720000000000000TSL | 2018 |  M02   |  673  |             |
| JTU720000000000000TSL | 2018 |  M01   |  828  |             |
+-----------------------+------+--------+-------+-------------+
